"doc_key","index","url"
"news·20240904·LF·1082×20×21082380712",35,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240904%C2%B7LF%C2%B71082%C3%9720%C3%9721082380712&docIndex=35"
"news·20240902·LM·202409022×20×22236974252",36,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240902%C2%B7LM%C2%B7202409022%C3%9720%C3%9722236974252&docIndex=36"
"news·20240820·LM·202408202×20×22210724435",37,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240820%C2%B7LM%C2%B7202408202%C3%9720%C3%9722210724435&docIndex=37"
"news·20240724·LM·202407242×20×22169010839",38,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240724%C2%B7LM%C2%B7202407242%C3%9720%C3%9722169010839&docIndex=38"
"news·20240720·LI·202407205015376918",39,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240720%C2%B7LI%C2%B7202407205015376918&docIndex=39"
"news·20240713·LM·202407132×20×22154432345",40,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240713%C2%B7LM%C2%B7202407132%C3%9720%C3%9722154432345&docIndex=40"
"news·20240710·LM·202407102×20×22145626601",41,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240710%C2%B7LM%C2%B7202407102%C3%9720%C3%9722145626601&docIndex=41"
"news·20240705·LM·202407052×20×22143574470",42,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240705%C2%B7LM%C2%B7202407052%C3%9720%C3%9722143574470&docIndex=42"
"news·20240620·LM·202406202×20×22122346322",43,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240620%C2%B7LM%C2%B7202406202%C3%9720%C3%9722122346322&docIndex=43"
"news·20240620·LM·202406202×20×22122347610",44,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240620%C2%B7LM%C2%B7202406202%C3%9720%C3%9722122347610&docIndex=44"
"news·20240619·LF·1072×20×21662130924",45,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240619%C2%B7LF%C2%B71072%C3%9720%C3%9721662130924&docIndex=45"
"news·20240613·LM·202406132×20×22114050820",46,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240613%C2%B7LM%C2%B7202406132%C3%9720%C3%9722114050820&docIndex=46"
"news·20240610·LM·202406102×20×22107551303",47,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240610%C2%B7LM%C2%B7202406102%C3%9720%C3%9722107551303&docIndex=47"
"news·20240610·LM·202406102×20×22107521944",48,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240610%C2%B7LM%C2%B7202406102%C3%9720%C3%9722107521944&docIndex=48"
"news·20240604·LE·l000012315720",49,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240604%C2%B7LE%C2%B7l000012315720&docIndex=49"
"news·20240604·LF·1072×20×21056259760",50,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240604%C2%B7LF%C2%B71072%C3%9720%C3%9721056259760&docIndex=50"
"news·20240601·LE·l000012315572",51,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240601%C2%B7LE%C2%B7l000012315572&docIndex=51"
"news·20240525·LM·202405252×20×22047727672",52,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240525%C2%B7LM%C2%B7202405252%C3%9720%C3%9722047727672&docIndex=52"
"news·20240524·LM·202405242×20×22038072708",53,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240524%C2%B7LM%C2%B7202405242%C3%9720%C3%9722038072708&docIndex=53"
"news·20240524·LF·1072×20×21192359484",54,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240524%C2%B7LF%C2%B71072%C3%9720%C3%9721192359484&docIndex=54"
"news·20240523·LM·202405232×20×22031631835",55,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240523%C2%B7LM%C2%B7202405232%C3%9720%C3%9722031631835&docIndex=55"
"news·20240517·LI·196415613",56,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240517%C2%B7LI%C2%B7196415613&docIndex=56"
"news·20240516·LF·1072×20×21056929583",57,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240516%C2%B7LF%C2%B71072%C3%9720%C3%9721056929583&docIndex=57"
"news·20240507·LM·202405072×20×21930856215",58,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240507%C2%B7LM%C2%B7202405072%C3%9720%C3%9721930856215&docIndex=58"
"news·20240429·LM·202404292×20×21867957547",59,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240429%C2%B7LM%C2%B7202404292%C3%9720%C3%9721867957547&docIndex=59"
"news·20240426·LF·1072×20×2718968196",60,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240426%C2%B7LF%C2%B71072%C3%9720%C3%972718968196&docIndex=60"
"news·20240420·LM·202404202×20×21863680965",61,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240420%C2%B7LM%C2%B7202404202%C3%9720%C3%9721863680965&docIndex=61"
"news·20240411·LF·1072×20×2466962276",62,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240411%C2%B7LF%C2%B71072%C3%9720%C3%972466962276&docIndex=62"
"news·20240409·LM·202404092×20×21804084537",63,"https://nouveau-eureka-cc.acces.bibl.ulaval.ca/Document/View?viewEvent=1&docRefId=0&docName=news%C2%B720240409%C2%B7LM%C2%B7202404092%C3%9720%C3%9721804084537&docIndex=63"
